code,reward,expires_at,status,note
バージョン7.6[後期]ありがとうプレゼント,ふくびき券76枚/元気玉7個/バトルロードチケット200枚,2026/5/31,,
かえりざきのバトル,身代わりのコイン1個,2026/5/31,,
はるのうでだめし,破壊神フォロボスメダル1個,2026/5/31,,
はるもそうびきょうか,紫の上錬金石10個,2026/5/31,,
はるまつりでふくびき,ふくびき券30個,2026/5/31,,
レベルあげまつり,メタル迷宮招待券5個,2026/5/31,,
はるのころもがえ,ゼルメアの聖紋5個,2026/5/31,,
メタキンスプリングス,メタキンボスメダル1個,2026/5/31,,
ちょうげんきまつり,超元気玉×5個,2026/5/31,,
ドラクエでたなばた,超元気玉1個,終了未定,,
あめのなかのぼうけん,超元気玉1個,終了未定,,
れんきゅうもドラクエ,超元気玉1個,終了未定,,
ぼうけんをはじめよう,超元気玉1個,終了未定,,
ドラクエでひなまつり,超元気玉1個,終了未定,,
みんなでまめまき,超元気玉1個,終了未定,,
みんなでしんねんかい,超元気玉1個,終了未定,,
みんなにプレゼント,超元気玉1個,終了未定,,
みんなでもみじがり,超元気玉1個,終了未定,,
みんなでハロウィン,超元気玉1個,終了未定,,
ドラクエでおつきみ,超元気玉1個,終了未定,,
ドラクエのなつ,超元気玉1個,終了未定,,
ごしゅうねんいわおう,メタキンメダル1個/超元気玉1個,終了未定,,
じくうでたなばた,超元気玉1個,終了未定,,
あめでもどらくえてん,超元気玉1個,終了未定,,
ぼうけんスタンプご,ふくびき券3個,終了未定,,
ぼうけんスタンプよん,ふくびき券3個,終了未定,,
ぼうけんスタンプさん,ふくびき券3個,終了未定,,
ぼうけんスタンプに,ふくびき券3個,終了未定,,
ぼうけんスタンプいち,ふくびき券3個,終了未定,,
じくうでははのひ,超元気玉1個,終了未定,,
じくうでしんがっき,超元気玉1個,終了未定,,
ルームでおひなさま,超元気玉1個,終了未定,,
じくうでゆきげしき,超元気玉1個,終了未定,,
おいもでちょうげんき,超元気玉1個,終了未定,,
じくうでおつきみ,超元気玉1個,終了未定,,
じくうでぼんおどり,超元気玉1個,終了未定,,
じくうのなつやすみ,超元気玉1個,終了未定,,
あめでもちょうげんき,超元気玉1個,終了未定,,
じくうでれんきゅう,超元気玉1個,終了未定,,
じくうでだいぼうけん,超元気玉1個,終了未定,,
エイチピーでドラクエ,超元気玉1個,終了未定,,
じくうでひなまつり,超元気玉1個,終了未定,,
じくうでバレンタイン,超元気玉1個,終了未定,,
じくうでしんねん,超元気玉1個,終了未定,,
ルームでぼうねんかい,超元気玉1個,終了未定,,
ルームでオフかい,超元気玉1個,終了未定,,
ルームでにしゅうねん,超元気玉1個,終了未定,,
ルームでおつきみ,超元気玉1個,終了未定,,
ルームいっしゅうねん,超元気玉1個,終了未定,,
ルームでなつやすみ,超元気玉1個,終了未定,,
ルームであまやどり,超元気玉1個,終了未定,,
ルームでかしわもち,超元気玉1個,終了未定,,
ヤフーでドラクエ,元気玉1個,終了未定,,
みんなちょうニコニコ,超パーティー仮面,終了未定,,
ルームでおはなみ,超元気玉1個,終了未定,,
ルームでしんねん,超元気玉1個,終了未定,,
みんなでぼうけん,超元気玉1個,終了未定,,
じゆうくうかんにゴー,元気玉1個,終了未定,,
みんなでだいぼうけん,超元気玉1個,終了未定,,
なつやすみもげんき,超元気玉1個,終了未定,,
しゅくいっしゅうねん,超元気玉1個,終了未定,,
みんなでちょうつよく,超元気玉1個,終了未定,,
レッツなりきりプレイ,レンタル衣装無料券1個,終了未定,,
がらっといめちぇん,美容院無料券1個,終了未定,,
おしゃれにきめるぜ,ドレスアップ無料券1個,終了未定,,
みんなではっする,超元気玉1個,終了未定,,
おとしだまげんきだま,超元気玉1個,終了未定,,
じゃんぷでうんだめし,ふくびき券1個,終了未定,,
げんきになろうぜ,元気玉2個,終了未定,,
かいぞくすたいるだ,かいぞくＴシャツ,終了未定,,
