orb_id,orb_name,effect,monster_names_raw,remaining_text,error_note
14,魔術の深淵,炎攻撃魔力が2増える、回復魔力が2増える,会心練磨,会心練磨,monster_data.csv に存在しない名称で分解が停止しました
40,鉄壁のマヒガード,水マヒガードが2%増える,コスモアイデザートゴルバみずたまドラゴンしびれだんびら・強ヘルクラッシャージア・メーダミ－ラカンスしびれあげは,ミ－ラカンスしびれあげは,monster_data.csv に存在しない名称で分解が停止しました
46,鉄壁の幻惑ガード,水幻惑ガードが2%増える,ろうごくのぬしぬかどこスライムデュランダルじめじめバブルはりつきあくまスピンサタンじんめんちょうミ－ラカンス,ミ－ラカンス,monster_data.csv に存在しない名称で分解が停止しました
54,鉄壁のMP吸収ガード,水ＭＰ吸収ガードが2%増える,ウドラーからくりしょうぐんモーモン・強スライムベス・祖,・祖,monster_data.csv に存在しない名称で分解が停止しました
59,鉄壁の各弱体系耐性,水各弱体系耐性が2%増える,ホイミ系呪文の奇跡,ホイミ系呪文の奇跡,monster_data.csv に存在しない名称で分解が停止しました
61,ザオの戦域,水範囲の半径が0.5m増える,スライム・強スライムベス・祖,・祖,monster_data.csv に存在しない名称で分解が停止しました
110,終わりのHP回復,風戦闘終了時HPを20回復,メラ系呪文の瞬き,メラ系呪文の瞬き,monster_data.csv に存在しない名称で分解が停止しました
142,コーラルレインの瞬き,風詠唱速度が3%アップする,メイルストロムの瞬き,メイルストロムの瞬き,monster_data.csv に存在しない名称で分解が停止しました
143,メイルストロムの瞬き,風詠唱速度が3%アップする,戦士の閃き,戦士の閃き,monster_data.csv に存在しない名称で分解が停止しました
170,ファントムハックの極意,光ダメージ2%増える,あやしいかげ・強スケアフレイル,スケアフレイル,monster_data.csv に存在しない名称で分解が停止しました
276,きまぐれの技巧,光発動率が5%増える,おにこぞう・強きりさきピエロ・強スライムベス・祖とうぞくこぞう,・祖とうぞくこぞう,monster_data.csv に存在しない名称で分解が停止しました
326,ドガン系呪文の真髄,光テンション時ダメージ50増える,おおきづち・祖ミ－ラカンスくろがねの巨人,ミ－ラカンスくろがねの巨人,monster_data.csv に存在しない名称で分解が停止しました
395,しゅくふくの杖の奇跡,闇回復量が20%増える,ヘルボックルベビンゴサタン,ベビンゴサタン,monster_data.csv に存在しない名称で分解が停止しました
452,双竜打ちの真髄,闇テンション時ダメージが5増える,ダッシュラン・強スケアフレイル,スケアフレイル,monster_data.csv に存在しない名称で分解が停止しました
455,極竜打ちの真髄,闇テンション時ダメージが5増える,ドラゴンライダースケアフレイル,スケアフレイル,monster_data.csv に存在しない名称で分解が停止しました
